Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
55,7,n,1,36,20,False,92,1,77,False,7,False,76,
71,7,n,1,49,23,False,,1,,False,,False,,
117,7,n,1,91,27,False,,1,,False,,False,,
169,7,n,1,131,39,False,,1,,False,,False,,
218,7,n,1,165,54,False,,1,,False,,False,,
255,7,n,1,192,64,False,,1,,False,,False,,
312,7,n,1,235,78,False,,1,,False,,False,,
77,8,n,1,53,25,False,,1,,False,,False,,
131,8,n,1,102,30,False,,1,,False,,False,,
140,8,n,1,109,32,False,,1,,False,,False,,
141,8,n,1,110,32,False,,1,,False,,False,,
229,8,n,1,172,58,False,,1,,False,,False,,
289,8,n,1,216,74,False,,1,,False,,False,,
333,8,n,1,250,84,False,,1,,False,,False,,
2,9,n,1,3,0,False,,1,,False,,False,,
14,9,n,1,11,4,False,,1,,False,,False,,
122,9,n,1,96,27,False,,1,,False,,False,,
124,9,n,1,98,27,False,,1,,False,,False,,
137,9,n,1,106,32,False,,1,,False,,False,,
265,9,n,1,200,66,False,,1,,False,,False,,
313,9,n,1,236,78,False,,1,,False,,False,,
35,10,n,1,24,12,False,,1,,False,,False,,
115,10,n,1,89,27,False,,1,,False,,False,,
134,10,n,1,104,31,False,,1,,False,,False,,
192,10,n,1,148,45,False,,1,,False,,False,,
196,10,n,1,152,45,False,,1,,False,,False,,
217,10,n,1,164,54,False,,1,,False,,False,,
281,10,n,1,209,73,False,,1,,False,,False,,
78,11,n,1,54,25,False,,1,,False,,False,,
82,11,n,1,58,25,False,,1,,False,,False,,
94,11,n,1,69,26,False,,1,,False,,False,,
146,11,n,1,114,33,False,,1,,False,,False,,
148,11,n,1,116,33,False,,1,,False,,False,,
221,11,n,1,168,54,False,,1,,False,,False,,
299,11,n,1,225,75,False,,1,,False,,False,,
1,12,n,1,2,0,False,,1,,False,,False,,
79,12,n,1,55,25,False,,1,,False,,False,,
112,12,n,1,86,27,False,,1,,False,,False,,
119,12,n,1,93,27,False,,1,,False,,False,,
162,12,n,1,127,36,False,,1,,False,,False,,
302,12,n,1,227,76,False,,1,,False,,False,,
311,12,n,1,234,78,False,,1,,False,,False,,
3,13,s,1,4,0,1,,False,,False,,False,,
92,13,s,1,67,26,1,,False,,False,,False,,
104,13,n,False,78,27,False,,False,,False,,1,,
251,13,n,False,190,62,False,,False,,False,,1,,
295,13,n,False,221,75,False,,False,,False,,1,,
300,13,n,False,225,76,False,,False,,False,,1,,
308,13,s,1,232,77,1,,False,,False,,False,,
21,14,s,1,14,8,1,,False,,False,,False,,
126,14,n,False,99,28,False,,False,,False,,1,,
158,14,s,1,123,36,1,,False,,False,,False,,
198,14,n,False,153,46,False,,False,,False,,1,,
257,14,n,False,192,66,False,,False,,False,,1,,
285,14,s,1,213,73,1,,False,,False,,False,,
325,14,s,1,245,81,1,,False,,False,,False,,
74,15,s,1,51,24,1,,False,,False,,False,,
80,15,s,1,56,25,1,,False,,False,,False,,
87,15,s,1,62,26,1,,False,,False,,False,,
182,15,n,False,142,41,False,,False,,False,,1,,
210,15,n,False,161,50,False,,False,,False,,1,,
215,15,n,False,162,54,False,,False,,False,,1,,
260,15,s,1,195,66,1,,False,,False,,False,,
19,16,n,False,13,7,False,,False,,False,,1,,
42,16,s,1,28,15,1,,False,,False,,False,,
105,16,s,1,79,27,1,,False,,False,,False,,
133,16,n,False,103,31,False,,False,,False,,1,,
207,16,s,1,159,49,1,,False,,False,,False,,
248,16,s,1,188,61,1,,False,,False,,False,,
326,16,s,1,246,81,1,,False,,False,,False,,
4,17,s,1,5,0,1,,False,,False,,False,,
56,17,n,False,36,21,False,,False,,False,,1,,
128,17,s,1,100,29,1,,False,,False,,False,,
144,17,s,1,113,32,1,,False,,False,,False,,
180,17,n,False,141,40,False,,False,,False,,1,,
199,17,n,False,153,47,False,,False,,False,,1,,
232,17,n,False,174,59,False,,False,,False,,1,,
8,18,n,False,6,3,False,,False,,False,,1,,
51,18,n,False,32,20,False,,False,,False,,1,,
84,18,s,1,59,26,1,,False,,False,,False,,
233,18,s,1,175,59,1,,False,,False,,False,,
291,18,s,1,218,74,1,,False,,False,,False,,
330,18,n,False,247,84,False,,False,,False,,1,,
334,18,s,1,251,84,1,,False,,False,,False,,
30,19,n,False,20,11,False,,False,,False,,1,,
48,19,n,False,30,19,False,,False,,False,,1,,
