Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
89,7,n,1,70,20,False,141,1,61,False,23,False,27,
108,7,n,1,85,24,False,,1,,False,,False,,
125,7,n,1,97,29,False,,1,,False,,False,,
243,7,s,False,196,48,False,,False,,1,,False,,
300,7,n,1,248,53,False,,1,,False,,False,,
306,7,n,1,253,54,False,,1,,False,,False,,
315,7,n,1,262,54,False,,1,,False,,False,,
87,8,n,1,69,19,False,,1,,False,,False,,
118,8,n,1,91,28,False,,1,,False,,False,,
129,8,n,1,99,31,False,,1,,False,,False,,
141,8,n,1,109,33,False,,1,,False,,False,,
150,8,n,1,115,36,False,,1,,False,,False,,
169,8,s,False,130,40,False,,False,,1,,False,,
249,8,n,1,201,49,False,,1,,False,,False,,
30,9,n,1,25,6,False,,1,,False,,False,,
65,9,n,1,53,13,False,,1,,False,,False,,
74,9,s,False,59,16,False,,False,,1,,False,,
98,9,n,1,77,22,False,,1,,False,,False,,
147,9,n,1,113,35,False,,1,,False,,False,,
215,9,s,False,170,46,False,,False,,1,,False,,
290,9,n,1,238,53,False,,1,,False,,False,,
37,10,n,1,31,7,False,,1,,False,,False,,
93,10,n,1,72,22,False,,1,,False,,False,,
191,10,n,1,151,41,False,,1,,False,,False,,
200,10,n,1,157,44,False,,1,,False,,False,,
208,10,n,1,164,45,False,,1,,False,,False,,
277,10,n,1,226,52,False,,1,,False,,False,,
331,10,n,1,277,55,False,,1,,False,,False,,
19,11,n,1,17,3,False,,1,,False,,False,,
95,11,n,1,74,22,False,,1,,False,,False,,
183,11,n,1,144,40,False,,1,,False,,False,,
199,11,s,False,156,44,False,,False,,1,,False,,
268,11,n,1,220,49,False,,1,,False,,False,,
282,11,n,1,231,52,False,,1,,False,,False,,
326,11,n,1,272,55,False,,1,,False,,False,,
22,12,n,1,20,3,False,,1,,False,,False,,
36,12,n,1,30,7,False,,1,,False,,False,,
64,12,n,1,52,13,False,,1,,False,,False,,
85,12,n,1,68,18,False,,1,,False,,False,,
158,12,n,1,123,36,False,,1,,False,,False,,
254,12,n,1,206,49,False,,1,,False,,False,,
317,12,n,1,264,54,False,,1,,False,,False,,
46,13,s,1,39,8,1,,False,,False,,False,,
94,13,s,1,73,22,1,,False,,False,,False,,
157,13,s,1,122,36,1,,False,,False,,False,,
248,13,s,1,200,49,1,,False,,False,,False,,
252,13,s,1,204,49,1,,False,,False,,False,,
289,13,s,1,237,53,1,,False,,False,,False,,
320,13,s,1,267,54,1,,False,,False,,False,,
14,14,s,1,12,3,1,,False,,False,,False,,
78,14,n,False,62,17,False,,False,,False,,1,,
176,14,s,1,137,40,1,,False,,False,,False,,
179,14,s,1,140,40,1,,False,,False,,False,,
194,14,n,False,153,42,False,,False,,False,,1,,
284,14,s,1,233,52,1,,False,,False,,False,,
328,14,s,1,274,55,1,,False,,False,,False,,
110,15,s,1,86,25,1,,False,,False,,False,,
138,15,s,1,106,33,1,,False,,False,,False,,
205,15,s,1,161,45,1,,False,,False,,False,,
213,15,s,1,169,45,1,,False,,False,,False,,
245,15,n,False,197,49,False,,False,,False,,1,,
314,15,s,1,261,54,1,,False,,False,,False,,
323,15,s,1,270,54,1,,False,,False,,False,,
0,16,s,1,1,0,1,,False,,False,,False,,
2,16,s,1,3,0,1,,False,,False,,False,,
52,16,s,1,45,8,1,,False,,False,,False,,
133,16,s,1,101,33,1,,False,,False,,False,,
136,16,s,1,104,33,1,,False,,False,,False,,
222,16,n,False,176,47,False,,False,,False,,1,,
299,16,s,1,247,53,1,,False,,False,,False,,
71,17,s,1,58,14,1,,False,,False,,False,,
75,17,s,1,60,16,1,,False,,False,,False,,
88,17,n,False,69,20,False,,False,,False,,1,,
102,17,n,False,80,23,False,,False,,False,,1,,
160,17,s,1,125,36,1,,False,,False,,False,,
231,17,s,1,185,47,1,,False,,False,,False,,
259,17,s,1,211,49,1,,False,,False,,False,,
39,18,s,1,33,7,1,,False,,False,,False,,
63,18,n,False,51,13,False,,False,,False,,1,,
113,18,n,False,88,26,False,,False,,False,,1,,
190,18,s,1,150,41,1,,False,,False,,False,,
214,18,s,1,170,45,1,,False,,False,,False,,
253,18,s,1,205,49,1,,False,,False,,False,,
271,18,n,False,221,51,False,,False,,False,,1,,
3,19,s,1,4,0,1,,False,,False,,False,,
20,19,s,1,18,3,1,,False,,False,,False,,
186,19,s,1,146,41,1,,False,,False,,False,,
236,19,s,1,190,47,1,,False,,False,,False,,
246,19,s,1,198,49,1,,False,,False,,False,,
262,19,s,1,214,49,1,,False,,False,,False,,
274,19,s,1,223,52,1,,False,,False,,False,,
12,20,s,1,10,3,1,,False,,False,,False,,
28,20,s,1,24,5,1,,False,,False,,False,,
81,20,s,1,65,17,1,,False,,False,,False,,
126,20,s,1,98,29,1,,False,,False,,False,,
251,20,s,1,203,49,1,,False,,False,,False,,
298,20,s,1,246,53,1,,False,,False,,False,,
313,20,s,1,260,54,1,,False,,False,,False,,
105,21,s,1,83,23,1,,False,,False,,False,,
137,21,s,1,105,33,1,,False,,False,,False,,
154,21,s,1,119,36,1,,False,,False,,False,,
156,21,s,1,121,36,1,,False,,False,,False,,
240,21,s,1,194,47,1,,False,,False,,False,,
269,21,s,1,221,49,1,,False,,False,,False,,
296,21,s,1,244,53,1,,False,,False,,False,,
54,22,n,False,45,10,False,,False,,False,,1,,
124,22,s,1,96,29,1,,False,,False,,False,,
152,22,s,1,117,36,1,,False,,False,,False,,
206,22,s,1,162,45,1,,False,,False,,False,,
226,22,s,1,180,47,1,,False,,False,,False,,
234,22,s,1,188,47,1,,False,,False,,False,,
267,22,s,1,219,49,1,,False,,False,,False,,
103,23,s,1,81,23,1,,False,,False,,False,,
119,23,s,1,92,28,1,,False,,False,,False,,
145,23,s,1,111,35,1,,False,,False,,False,,
170,23,s,1,131,40,1,,False,,False,,False,,
185,23,s,1,145,41,1,,False,,False,,False,,
192,23,s,1,152,41,1,,False,,False,,False,,
224,23,s,1,178,47,1,,False,,False,,False,,
45,24,s,1,38,8,1,,False,,False,,False,,
62,24,s,1,51,12,1,,False,,False,,False,,
121,24,s,1,94,28,1,,False,,False,,False,,
