Ensayo, Estimulo, Respuesta, Correcto, Aciertos, Errores, Hits,, Rechazos,, Falsas alarmas,, Omisiones,, 
35,7,n,1,36,0,False,168,1,82,False,2,False,0,
78,7,n,1,79,0,False,,1,,False,,False,,
127,7,n,1,128,0,False,,1,,False,,False,,
145,7,n,1,146,0,False,,1,,False,,False,,
185,7,n,1,185,1,False,,1,,False,,False,,
223,7,n,1,223,1,False,,1,,False,,False,,
287,7,n,1,286,2,False,,1,,False,,False,,
11,8,n,1,12,0,False,,1,,False,,False,,
54,8,n,1,55,0,False,,1,,False,,False,,
67,8,n,1,68,0,False,,1,,False,,False,,
119,8,n,1,120,0,False,,1,,False,,False,,
147,8,n,1,148,0,False,,1,,False,,False,,
206,8,n,1,206,1,False,,1,,False,,False,,
215,8,n,1,215,1,False,,1,,False,,False,,
0,9,n,1,1,0,False,,1,,False,,False,,
9,9,n,1,10,0,False,,1,,False,,False,,
16,9,n,1,17,0,False,,1,,False,,False,,
46,9,n,1,47,0,False,,1,,False,,False,,
140,9,n,1,141,0,False,,1,,False,,False,,
219,9,n,1,219,1,False,,1,,False,,False,,
264,9,n,1,263,2,False,,1,,False,,False,,
10,10,n,1,11,0,False,,1,,False,,False,,
51,10,n,1,52,0,False,,1,,False,,False,,
77,10,n,1,78,0,False,,1,,False,,False,,
92,10,n,1,93,0,False,,1,,False,,False,,
171,10,n,1,172,0,False,,1,,False,,False,,
230,10,n,1,230,1,False,,1,,False,,False,,
260,10,n,1,259,2,False,,1,,False,,False,,
31,11,n,1,32,0,False,,1,,False,,False,,
107,11,n,1,108,0,False,,1,,False,,False,,
134,11,n,1,135,0,False,,1,,False,,False,,
154,11,n,1,155,0,False,,1,,False,,False,,
227,11,n,1,227,1,False,,1,,False,,False,,
257,11,n,1,257,1,False,,1,,False,,False,,
294,11,n,1,293,2,False,,1,,False,,False,,
164,12,n,1,165,0,False,,1,,False,,False,,
168,12,n,1,169,0,False,,1,,False,,False,,
196,12,n,1,196,1,False,,1,,False,,False,,
199,12,n,1,199,1,False,,1,,False,,False,,
233,12,n,1,233,1,False,,1,,False,,False,,
245,12,n,1,245,1,False,,1,,False,,False,,
295,12,n,1,294,2,False,,1,,False,,False,,
124,13,s,1,125,0,1,,False,,False,,False,,
130,13,s,1,131,0,1,,False,,False,,False,,
133,13,s,1,134,0,1,,False,,False,,False,,
262,13,s,1,261,2,1,,False,,False,,False,,
267,13,s,1,266,2,1,,False,,False,,False,,
271,13,s,1,270,2,1,,False,,False,,False,,
316,13,s,1,315,2,1,,False,,False,,False,,
29,14,s,1,30,0,1,,False,,False,,False,,
32,14,s,1,33,0,1,,False,,False,,False,,
50,14,s,1,51,0,1,,False,,False,,False,,
162,14,s,1,163,0,1,,False,,False,,False,,
290,14,s,1,289,2,1,,False,,False,,False,,
301,14,s,1,300,2,1,,False,,False,,False,,
335,14,s,1,334,2,1,,False,,False,,False,,
61,15,s,1,62,0,1,,False,,False,,False,,
69,15,s,1,70,0,1,,False,,False,,False,,
112,15,s,1,113,0,1,,False,,False,,False,,
126,15,s,1,127,0,1,,False,,False,,False,,
174,15,s,1,175,0,1,,False,,False,,False,,
193,15,s,1,193,1,1,,False,,False,,False,,
255,15,s,1,255,1,1,,False,,False,,False,,
8,16,s,1,9,0,1,,False,,False,,False,,
44,16,s,1,45,0,1,,False,,False,,False,,
59,16,s,1,60,0,1,,False,,False,,False,,
62,16,s,1,63,0,1,,False,,False,,False,,
170,16,s,1,171,0,1,,False,,False,,False,,
188,16,s,1,188,1,1,,False,,False,,False,,
297,16,s,1,296,2,1,,False,,False,,False,,
41,17,s,1,42,0,1,,False,,False,,False,,
122,17,s,1,123,0,1,,False,,False,,False,,
218,17,s,1,218,1,1,,False,,False,,False,,
270,17,s,1,269,2,1,,False,,False,,False,,
293,17,s,1,292,2,1,,False,,False,,False,,
302,17,s,1,301,2,1,,False,,False,,False,,
320,17,s,1,319,2,1,,False,,False,,False,,
48,18,s,1,49,0,1,,False,,False,,False,,
58,18,s,1,59,0,1,,False,,False,,False,,
94,18,s,1,95,0,1,,False,,False,,False,,
96,18,s,1,97,0,1,,False,,False,,False,,
258,18,s,1,258,1,1,,False,,False,,False,,
304,18,s,1,303,2,1,,False,,False,,False,,
321,18,s,1,320,2,1,,False,,False,,False,,
63,19,s,1,64,0,1,,False,,False,,False,,
163,19,s,1,164,0,1,,False,,False,,False,,
203,19,s,1,203,1,1,,False,,False,,False,,
220,19,s,1,220,1,1,,False,,False,,False,,
222,19,s,1,222,1,1,,False,,False,,False,,
277,19,s,1,276,2,1,,False,,False,,False,,
291,19,s,1,290,2,1,,False,,False,,False,,
17,20,s,1,18,0,1,,False,,False,,False,,
95,20,s,1,96,0,1,,False,,False,,False,,
98,20,s,1,99,0,1,,False,,False,,False,,
142,20,s,1,143,0,1,,False,,False,,False,,
178,20,s,1,179,0,1,,False,,False,,False,,
205,20,s,1,205,1,1,,False,,False,,False,,
281,20,s,1,280,2,1,,False,,False,,False,,
28,21,s,1,29,0,1,,False,,False,,False,,
93,21,s,1,94,0,1,,False,,False,,False,,
97,21,s,1,98,0,1,,False,,False,,False,,
172,21,s,1,173,0,1,,False,,False,,False,,
284,21,s,1,283,2,1,,False,,False,,False,,
303,21,s,1,302,2,1,,False,,False,,False,,
330,21,s,1,329,2,1,,False,,False,,False,,
6,22,s,1,7,0,1,,False,,False,,False,,
18,22,s,1,19,0,1,,False,,False,,False,,
24,22,s,1,25,0,1,,False,,False,,False,,
36,22,s,1,37,0,1,,False,,False,,False,,
45,22,s,1,46,0,1,,False,,False,,False,,
167,22,s,1,168,0,1,,False,,False,,False,,
276,22,s,1,275,2,1,,False,,False,,False,,
13,23,s,1,14,0,1,,False,,False,,False,,
74,23,s,1,75,0,1,,False,,False,,False,,
128,23,s,1,129,0,1,,False,,False,,False,,
247,23,s,1,247,1,1,,False,,False,,False,,
249,23,s,1,249,1,1,,False,,False,,False,,
268,23,s,1,267,2,1,,False,,False,,False,,
328,23,s,1,327,2,1,,False,,False,,False,,
20,24,s,1,21,0,1,,False,,False,,False,,
38,24,s,1,39,0,1,,False,,False,,False,,
60,24,s,1,61,0,1,,False,,False,,False,,
66,24,s,1,67,0,1,,False,,False,,False,,
111,24,s,1,112,0,1,,False,,False,,False,,
246,24,s,1,246,1,1,,False,,False,,False,,
252,24,s,1,252,1,1,,False,,False,,False,,
70,25,s,1,71,0,1,,False,,False,,False,,
254,25,s,1,254,1,1,,False,,False,,False,,
282,25,s,1,281,2,1,,False,,False,,False,,
307,25,s,1,306,2,1,,False,,False,,False,,
311,25,s,1,310,2,1,,False,,False,,False,,
325,25,s,1,324,2,1,,False,,False,,False,,
331,25,s,1,330,2,1,,False,,False,,False,,
72,26,s,1,73,0,1,,False,,False,,False,,
